事件标题,事件内容
“坏兔子”勒索软件：不要通过广告弹出窗口下载软件,“坏兔子”利用新闻媒体网站弹出的Adobe Flash软件安装请求来渗透用户电脑，而那些新闻媒体网站已经被黑客入侵了。这轮勒索风潮发生在10月，主要冲击了俄罗斯，但有专家发现乌克兰、土耳其和德国也出现了受害者。这件事提醒我们，用户一定不要通过广告弹出窗口或者不属于软件公司的网站来下载软件。
“黑客门”余波：特朗普称写信安全，还知道别人不知道的消息,奥巴马政府去年年末因“黑客门”宣布对俄制裁后，美俄再掀外交风波，特朗普也频频就此事发表看法并承诺将于下周会见情报高官。新年伊始，据新华社2017年1月2日报道，美国当选总统唐纳德·特朗普在谈及网络安全时称，网络安全“非常重要”，但自己宁愿选择用“老办法”。“如果你有确实重要的事情，把它写下来，由专人递送，”特朗普说，“这种方法虽然老旧，但电脑无一安全。”同时，1月1日，针对美国情报界是否真正掌握了可以指认俄方通过网络袭击干预美国总统选举的证据，特朗普称：“我只想让他们确认，因为这是非常严重的指责。”他还说，美国情报界曾经得出结论称伊拉克前总统萨达姆·侯赛因有大规模杀伤性武器，结果证实是个错误。特朗普说：“我也对网络袭击了解不少，清楚网络袭击非常难以找到证据，因此(通过网络袭击干预美国总统选举的事)也可能是别人所为。”他还不忘卖关子，称自己“还知道一些别人不知情的事”，因此情报官员或许不能现在就下定论。当被问及是什么样的事时，特朗普回答：“大家下周二、三(1月3日、4日)就会知道。”
黑客攻破杭州旅行社后台：一分钱单价买数千张迪斯尼门票倒卖,嫌疑人李某某，赵某某。本文图片均为杭州市上城区公安分局提供三名“90后”黑客攻破杭州一家旅行社的网络系统，将其代理的原价375元的某迪斯尼乐园门票价格改为1分钱，并买了2700余张卖给票贩子，非法获利50余万元。澎湃新闻（www.thepaper.cn）1月4日从杭州市上城区公安分局获悉，三名黑客及票贩子伍某已因涉嫌非法获取计算机信息系统数据被刑拘。去年10月中旬，杭州一家旅行社报案称，该社与某迪斯尼乐园有合作，从事门票票务代理，以协议价拿票后在自己的网络平台出售。但当天不知怎地，票务系统以一分钱一张的价格在售票。嫌疑人黄某。警方专案组经分析、追踪，去年11月下旬在南京抓获嫌疑人赵某、李某。赵某23岁，浙江瑞安人，有非法获取计算机信息系统数据的前科。李某比他大一岁，北京人，是他女友，也是计算机技术爱好者。通过两人的交代，专案组在福建抓获主犯黄某，此后，在湖南将网上收购部分门票的伍某抓获。嫌疑人伍某。“黄某刚满20岁，却是个老手，被抓时因涉嫌非法获取计算机信息系统数据，还处于取保候审状态。”办案民警告诉澎湃新闻。据他们交代，黑客软件从某黑客QQ群购得，攻破旅行社的系统后，他们将每张门票的价格修改成一分，通过支付宝买了2700余张，以220元～230元的单价卖给票贩子，非法获利50多万。
美军将研究核武器联网后如何防黑客：修补国防部现行安全指令,据美国媒体报道，美国将研发网络化的新一代核武器系统。为此，美军将研究联网的核武器系统如何防范黑客攻击。美国空军科学顾问委员会主席维尔纳·达姆近日对“防务一号”网站说，美国的一些核武器系统需要更新换代，其中包括新型B－21隐形轰炸机、新一代洲际弹道导弹和远程巡航导弹等。此前美国当选总统特朗普也已表示，将扩充和加强美国的核武库。达姆说，新一代核武器系统与它们的“前任”迥然不同，是联网的，与其他作战系统通过网络连接。尽管这一网络并非公共的互联网，但在安全保障方面仍面临新挑战，如核武器系统有可能遭遇黑客入侵，这意味着应修改和补充美国国防部现行的核武器安全指令。美空军科学顾问委员会日前宣布，它在2017年的任务将是研究未来核武器联网的安全保障问题，在核武器系统更新换代开始之前提出防范安全漏洞的解决方案。空军科学顾问委员会有50名成员，具有军界、学界或业界等背景，由美国国防部长任命。
美媒：炒作“俄罗斯黑客”将降低美对俄网络攻击指控的说服力,"美国政治新闻网站POLITICO1月4日报道称，美国媒体对于佛芒特州电力系统遭到俄罗斯黑客入侵的夸大报道可能导致人们对所有有关俄罗斯黑客指控的怀疑，从而降低奥巴马政府声称俄罗斯利用黑客干涉2016年大选的说服力。2016年12月底，有美国媒体报道称在佛蒙特州的一家电力设施内发现了与俄罗斯黑客攻击相关的电脑代码，但并没有用来破坏其操作。消息称，联邦调查局工作人员此前向美国关键公用事业公司领导提供的代码遭""俄罗斯黑客""恶意入侵，伯灵顿电力公司在其系统中发现恶意软件。但该公司领导表示，经过检查，只在一台与电网没有关联的笔记本电脑上发现恶意软件。POLITICO在4日的报道中称，对于俄罗斯黑客入侵佛芒特州电力系统的报道炒作引起了网络专家的担心，专家认为这种炒作可能会带来对俄罗斯的错误指控。POLITCO称随着美国企业应政府要求寻找可能遭俄罗斯网络攻击的相关迹象，会引发新一轮对俄虚假抨击。而这些很容易就能够被揭穿的虚假信息可能会使人们怀疑所有关于俄罗斯黑客的指控。美国众议院国土安全主席迈克尔·麦考（MichaelMcCaul）也承认“存在一些错误的报道，而且明显是在激化这个问题”。麦考一直认为俄罗斯是黑客攻击美国大选的幕后主使。奥巴马政府周四以“干涉大选”和“对美国外交官施压”为由对9家俄罗斯企业和个人实施制裁，包括总参谋部情报总局和联邦安全局。此外，美国还将35名俄罗斯驻美外交官列为""不受欢迎人物""。俄罗斯总统弗拉基米尔?普京表示，俄罗斯保留还击的权利，但暂时不会采取相应措施，将看1月20日即将上任的特朗普政府如何处理。POLITICO同时指出，误报也可能被特朗普所利用，特朗普曾经嘲笑对于俄罗斯干预大选的指控。特朗普认为对俄指责毫无依据，称其民主党政敌试图借此质疑大选结果，推卸败选责任。上周当被问到网络攻击问题时，特朗普告诉记者“没人确切知道怎么回事”。"
美情报机构：俄政府高层主使黑客干涉美大选，但没操纵投票,当地时间2017年1月5日，美国华盛顿，美国高级情报官员出席国会的听证会，指证俄罗斯黑客干预美国大选。视觉中国图据“德国之声”网站2017年1月5日报道，在美国国会参议院的一个听证会上，美国情报机构负责人称，大选期间俄罗斯发动了黑客袭击，但没有干预投票过程。他们相信俄罗斯政府高层直接参与了攻击和泄漏美国民主党全国委员会的文件，欲以此影响2016年的美国大选。据报道，美国情报总局局长克拉珀（JamesClapper）、国家安全局局长罗杰斯（MichaelRogers）、美国国防部安全局局长莱特尔（MarcelLettre）共同签署的一份声明中称，“只有俄罗斯最高层”才是在美国总统选举期间对盗窃数据和公开数据的责任承担者。这份于1月5日提交给美国国会参议院军事委员会的声明指出，俄罗斯大规模黑客袭击了美国政府组织、重要基础设施以及一些企业。该声明还否定了特朗普对俄罗斯干预美国大选以至于出现对其有利结果的质疑。克拉珀说：“我不认为我们还曾遭遇过比这次攻击性更强、对我们选举制度更直接的干预。”不过克拉珀也强调，没有迹象显示俄罗斯积极干预了投票过程，“他们没有操纵投票或者类似的过程”。罗杰斯承认，在有关网络间谍的事宜上，美国情报系统行动过于迟缓。另据“参考消息”网1月6日援引“美国之音”的消息称，上述三人表示，俄罗斯的网络攻击对美国的国家利益构成“重大威胁”。报道称，奥巴马总统要求情报机构调查可能存在的外国机构干预美国大选的情况，可追溯到2008年奥巴马赢得白宫的那场大选。一位美国政府官员对美国之音确认，奥巴马和当选总统特朗普将分别于2017年1月5日和6日听取调查结果。美国中央情报局和联邦调查局都得出结论，认为俄罗斯政府幕后主使了针对这届美国大选的黑客行为，并故意通过维基揭秘泄露了相关文件来破坏大选。特朗普4日已经发推文力挺俄罗斯，对莫斯科是网络袭击元凶的说法表示怀疑。过去几天，特朗普在推特上提及维基解密创办人阿桑奇接受美国福克斯电视台的采访，其中阿桑奇表示，一个14岁的孩子也能够轻而易举打入美国民主党人的电子邮箱。选战期间特朗普曾说过，过去10年里美国情报系统的所作所为，简直是“一场灾难”。而转折出现在第二天，特朗普1月5日他在推特上表示，他是美国情报系统的“大粉丝”。“媒体撒谎，他们想出现我与情报部门势不两立的局面，虽然我其实是他们的大粉丝。”但在共和党内，不与特朗普统一声音的情况依然，如众议院议长莱恩就直接将阿桑奇称为“俄罗斯情报机构的爬虫”，他于4日说道，“他盗窃数据，让我们的国家安全面临危险。”美国各情报局将于下周就俄罗斯在美国“黑客袭击”的目标公开一份报告。克拉珀说，公共社会对威胁知道越多越好。此外，多个情报单位领导人的联合声明还写道，俄罗斯还使用了旨在影响欧洲和亚洲公共舆论的信息技术。
美情报机构新报告：俄军情机构借黑客诋毁希拉里，普京下令,当地时间2017年1月5日，美国华盛顿，工人在国会山布置总统就职会场。美国总统特朗普将于1月20日正式宣誓就职。视觉中国图据美国有线电视新闻网（CNN）1月7日消息，美国国家情报总监办公室（theOfficeoftheDirectorofNationalIntelligence）6日最新公布了一份关于俄罗斯介入美国大选的解密报告，指控俄罗斯总统普京下令进行“影响行动”，意在攻击美国民主党候选人希拉里·克林顿，并帮助其对手唐纳德·特朗普赢得2016年美国大选。报告称，莫斯科使用了各种策略，以扭转美国大选的结果——“通过网络攻击等隐蔽手段，辅以政府机构、国家媒体、第三方机构及社交媒体用户制造舆论产生影响”。据报道，在莫斯科发起的黑客行动中，民主党的组织及部分个人（包括希拉里的竞选主席JohnPodesta）的邮箱遭到攻击，所获得的信息则通过“维基解密”等第三方网站进行披露。“这是俄罗斯长期以来努力破坏‘美国领导的自由民主秩序’的一次‘大幅升级’。”报告中写道。该报告是美国情报机构第一次正式地、全面地向公众披露有关俄罗斯干预美国2016年大选的情况及背后动机。“普京想要打击希拉里，因为其自2011年底和2012年初开始煽动对他（普京）的政权进行大规模的抗议。对此普京自2011年以来一直公开地指责她。”报告中称。而在去年11月的大选中落败之后，希拉里曾向捐助者表示，普京参与了2016年的美国大选，部分原因在于对她的怨恨，CNN称，希拉里的这一观点在周五的（情报机构的）报告中得到了支持。而对于希拉里此前的表态，特朗普竞选团队曾称其为“一个笑话”。报告还说，我们高度确信俄罗斯军事情报机构（俄总参谋部情报总局GRU）通过黑客“Guccifer2.0”和DCLeaks.com对外泄露了机密资料，并向媒体和维基解密独家提供了文件。过去两周内，关于“俄罗斯干预美国大选”的争议甚嚣尘上。12月29号，在大选结果尘埃落定的背景下，美国总统奥巴马以俄罗斯涉嫌通过网络干预美国选举为由，决定对俄罗斯进行制裁：驱逐35名俄罗斯驻美外交官，并关闭美国境内两处隶属俄罗斯外交部的房产。而当选总统特朗普及其团队则表示，没有充分证据显示干扰美国大选的黑客来自俄罗斯，相关指责毫无根据，奥巴马政府和情报部门对俄罗斯的指责是“荒唐可笑”的。1月5日，数名美国情报高官前往国会山，出席了由参议院军事委员会（SenateArmedServicesCommittee）举办的关于俄罗斯黑客干预美国大选的公开听证会，美国国家情报总监詹姆斯·克拉珀（JamesClapper）将俄罗斯的疑似“干预”行为定义为超越传统间谍界限的，试图颠覆美国民主的“尝试”，他认为在整个大选的进程中，美国遇到了前所未见的激进和直接的干预行为，他比以往更为确信俄罗斯卷入了这些网络攻击中，俄罗斯对美国构成“威胁”。当天，美国现任总统奥巴马获得了这份“俄罗斯干预美国大选进程”的报告。次日（6日），美国候任总统特朗普与情报机构主管进行了“具有建设性的”会面，会后特朗普拒绝对报告的结论公开置评，并坚持认为黑客行为对最后的大选结果“没有绝对影响”。而在一份声明中，特朗普提及了俄罗斯对美实施网络攻击的行为，他同时也提及了中国。目前，俄罗斯方面还没有对特朗普的最新表态做出回应，此前针对奥巴马政府驱逐俄外交官的行动，俄方也罕见地未采取相对等的反制措施。
特朗普改口承认俄罗斯黑客曾干扰美国大选，称将采取应对措施,国际在线专稿：据路透社1月9日报道，当地时间1月8日，美国候任总统特朗普团队首次承认，俄罗斯黑客曾经入侵并干扰美国大选，并表示将采取应对措施。特朗普新任命的白宫办公厅主任赖因斯·普里巴斯表示，特朗普相信俄罗斯曾经干扰美国大选期间的民主党大会。但是，普里巴斯并未指出，特朗普是否认为普京曾经指使这一行为。“特朗普接受此案是俄罗斯团队所为的事实，”·普里巴斯在“周日福克斯新闻”节目上表示。这是特朗普团队首次承认，俄罗斯黑客曾经干扰美国大选。特朗普此前一直拒绝“俄罗斯黑客干扰美国大选”或是“俄罗斯黑客帮助特朗普赢得总统宝座”的类似言论。随着1月20日的就职典礼日益临近，特朗普来自共和党内部的压力也越来越大，许多人认为，这位候任总统应该与美国情报部门更好的沟通与合作，并认可来自后者的最新线索。上周，美国情报部门发表报告指出，普京“导演了一个包括网络攻击在内的复杂的计划”，来干扰民主党的竞选进程。（原题为《特朗普改口首次承认俄罗斯黑客曾干扰美国大选》）
特朗普承认俄罗斯参与黑客攻击但不改亲俄立场，国会推新制裁,面对共和党内和情报界的巨大压力，美国候任总统唐纳德·特朗普终于在俄罗斯黑客干扰美国大选这件事情上松了口。1月8日，特朗普任命的白宫幕僚长普理伯斯在接受福克斯新闻采访时表示，特朗普接受美国情报界的结论，即俄罗斯参与了美国总统选举期间的黑客攻击行动，并可能采取相应的行动。承认俄罗斯参与黑客攻击，但没有影响大选结果1月6日，美国国家情报总监办公室公布了一份关于俄罗斯介入美国大选的解密报告，指控俄罗斯总统普京下令进行“影响行动”，意在攻击美国民主党候选人希拉里·克林顿，并帮助其对手唐纳德·特朗普赢得2016年美国大选。该报告是美国情报机构第一次正式地、全面地向公众披露有关俄罗斯干预美国2016年大选的情况及背后动机。美国情报部门的这份报告并没有对俄罗斯的黑客行为多大程度上改变了选举结果做出评估，而特朗普在1月6日与情报机构主管进行了“具有建设性的”会面并接受有关情报通报之后也发表了多条推特，对这一点加以强调。此前特朗普一直否认大选过程中存在俄罗斯的干预，认为这一指控缺少证据，情报部门对俄罗斯的指责“荒唐可笑”。特朗普去年9月在与希拉里的第一场辩论中还称，网络入侵活动可能是中国所为，也有可能是个400磅重的胖子躺在床上做的。“情报强烈说明没有证据显示黑客行为影响到了选举结果。”特朗普在1月7日的一条推特中说。而在稍后的一条推特中特朗普则认为俄罗斯黑客干扰大选这件事的出现只是因为民主党无法接受败选的结果，“防护不佳的民主党全国委员会遭遇黑客这件事被讨论的唯一原因。”1月8日，被任命为总统顾问特朗普前竞选经理凯莉安娜·康韦在接受CNN采访时同样做了类似表态。康韦承认俄罗斯黑客攻击了民主党，但是坚决否认这影响到了总统选举的结果。“任何试图影响选举的尝试和愿望都失败了，他们没有成功，”康韦表示。亲俄态度没有改变普理伯斯在1月8日的声明中虽然表示，特朗普相信俄罗斯是黑客攻击美国民主党机构的幕后主使，但他没有明言特朗普是否同意黑客攻击受命于俄罗斯总统普京的说法。而就在1月7日特朗普通过推特否认俄罗斯黑客影响到了大选结果之后几个小时，他又连发3条推特，强调“和俄罗斯保持一个良好的关系是件好事，而不是件坏事”，声称“只有‘愚蠢’的人和傻瓜才会认为这是件坏事”，并称“我当上总统后，俄罗斯会比现在更尊重我们。”特朗普还表示“两国也许能够合作解决世界上一些重大而紧迫的问题。”自竞选以来特朗普就对俄罗斯表现出明显的友好，不仅表示将要修复美俄关系，而且常常以欣赏的态度评价俄罗斯总统普京，称普京是一位强有力的领导人。特朗普的亲俄态度在其国务卿的人选提名上表现的尤为明显，被他提名为国务卿的埃克森美孚CEO雷克斯?蒂勒森不仅在俄罗斯拥有大量业务，还与普京保持着良好的私人关系，克里姆林宫在2013年授予蒂勒森友谊勋章。美国媒体认为，特朗普的这一提名决定或是释放缓和美俄关系的信号。不过特朗普对俄罗斯的友好态度并没有得到共和党内太多人的赞同。1月8日美国参议院多数党领袖米奇·麦康奈尔在接受美国CBS电视台“面对全国”节目采访时表示，他相信特朗普与俄罗斯进行更多合作的美好愿望“很快将会破灭”。麦康奈尔表示，特朗普的想法可能只是一种妄想。“我不认为对于一个新总统来说，想要与俄罗斯保持良好关系是一件不同寻常的事情。我记得乔治·沃克·布什总统就曾经有过这种愿望，”麦康奈尔说，“俄罗斯是一个强大的对手，他们通过搅乱大选证明了这一点。”特朗普与共和党关系微妙路透社在1月9日的报道中指出，在俄罗斯黑客干扰大选这件事上，特朗普正面对来自共和党内部越来越多的压力。参议院两名重量级共和党参议员，共和党前总统候选人林赛·格雷厄姆以及参议院军事委员会主席约翰·麦凯恩1月8日表示，将提出代表两党的一项法案，提议就黑客干扰美国大选一事，在现有对俄制裁的基础上进一步扩展，将在俄罗斯最薄弱的金融、能源领域给予重创。《华尔街日报》9日则指出，此举有可能加深国会与候任总统特朗普之间围绕美俄关系的分歧。实际上，特朗普与国会共和党之间的关系近期一直比较微妙。这种微妙的关系从新国会召开第一天就开始了，1月4日国会部分共和党议员试图取消一个监督议员的道德办公室的努力在遭到特朗普强烈抨击之后迅速失败，这被看做是特朗普对国会具有巨大影响力的表现。部分共和党人担心，未来四年是否都会受制于特朗普的这种命令。现在距离1月20日特朗普正式入主白宫还有不足两周时间，而在本周参议院将会对特朗普提名的部分内阁成员进行首次听证会。路透社指出，这将是检验共和党对其支持度的重要试金石。据“美国之音”9日报道，11日参议院各委员会将就特朗普的其他内阁级提名人举行听证，其中有中情局局长、交通部部长、国土安全部部长和国防部长。同一日，包括司法部长提名人杰夫·塞申斯和国务卿提名人雷克斯·蒂勒森将接受资格审查。而蒂勒森在被提名为国务卿时就曾引发包括国会共和党高层在内的反弹潮，参议院军事委员会主席麦凯恩就曾直言对蒂勒森感到担心。围绕蒂勒森的提名听证，特朗普与国会共和党的微妙关系值得观察。
观察｜黑客干扰美国大选？美俄是否会爆发网络版“古巴危机”,1月11日，美国总统奥巴马发表了告别演说，8年的总统生涯走向结束。奥巴马虽然即将离任，但他在离任前留下的“美国制裁俄罗斯干扰大选”这一“政治遗产”，还将在一段时间继续影俄美关系。这场角力涉及美俄两个大国，美国现任总统奥巴马与候任总统特朗普，为世人呈现了又一场精彩的选后大戏，更预示着网络空间与传统大国博弈正在以前所未有的程度紧密交织在一起。俄罗斯黑客如何干扰美国总统大选？2016年12月，美国总统大选刚刚结束一个月，奥巴马就公开宣称，俄罗斯网络黑客曾以多种方式干扰大选，要求情报机构就此问题提交调查报告。此前两个月，国土安全部（DHS）部长杰伊·约翰逊和国家情报总监（DNI）詹姆斯·克拉珀就已于10月7日发表联合声明，称俄政府曾通过网络攻击影响公众舆论，干扰美国大选。在得到奥巴马指示后，美国各情报部门及网络安全相关机构更是迅速行动起来，连续出台3份报告和文件，包括国土安全部与联邦调查局（FBI)12月29日发布的“俄罗斯恶意网络活动”联合评估报告（JAR），克拉珀、负责情报事务的国防部副部长马塞尔·莱特尔、兼任国家安全局局长和网络空间司令部司令的迈克尔·罗杰斯1月5日向国会提交的“美国面临的外国网络威胁”联合声明，情报界1月6日联合发布的“俄罗斯在近期美国大选中的行动及其意图”评估报告。按照白宫发言人的说法，这些报告和声明均认为，俄罗斯“在大选期间播撒了‘怀疑与混乱的种子’，并通过网络袭击干扰大选进程。”报告将他们所判定的俄黑客干扰大选行动，称为“多面影响战”。它的主要特点是，综合各方面力量，运用切断、欺骗、宣传等多种手段，给俄方所不喜欢的希拉里制造不利影响。黑客活动所针对的目标，包括重要的竞选机构、智库和赞助单位。民主党国家委员会、民主党国会竞选委员会、希拉里竞选团队资深成员的个人电子邮件账户等，都遭受了黑客入侵，大量敏感信息被窃取和披露。与之相比，共和党竞选机构虽也遭受了俄方黑客入侵，但其中对特朗普不利的信息并未被披露出来。这些报告称，“影响战”的基本流程，是由黑客小组通过钓鱼等方式侵入重要机构网站与关键人物电子邮箱等，从中窃取敏感信息；将筛选出的敏感信息，通过自称罗马尼亚独立黑客的Guccifer2.0、DCLeaks.com网站和“维基解密”等网络平台予以披露；利用俄官方控制的媒体向俄国内及国际社会传递信息。通过这些方式，俄罗斯在大选前夕成功制造了明显不利于希拉里的舆论环境。美国内还一度风传，部分选举站点的计票系统也可能遭到黑客攻击，导致计票结果出现重大错误。情报部门对此给出的结论是，俄情报机构确实“黑”进了部分选举委员会网络，但计票环节未受干扰。对报告中的这些指控，俄罗斯方面一直预以否认。遭受黑客干扰，美国如何回应？作为网络世界的头号强国，美国向来是用网络工具影响他国内政的高手，如今竟成为“受害者”，当然不能善罢甘休。12月29日，奥巴马签署了对俄进行制裁的总统行政令，对象包括俄联邦情报总局（GRU)、联邦安全局（FSB)和为他们提供支持的3家公司，4位情报总局官员和2名黑客，另外还有两处领馆被关闭，35名外交官被驱逐出境。按照奥巴马的说法，白宫还在酝酿进一步的制裁措施。那么，白宫未来还会采取哪些措施？美俄斗法会不会升级为网络战？综合过去几年来美国政府的举措来看，美国应对所谓的“网络黑客攻击”主要有以下措施：（一）经济制裁2015年4月，奥巴马批准行政指令，对参与攻击美国银行、电力网络的黑客，可通过冻结资产等手段实施经济制裁。此前的1月，美国还针对索尼影业公司遭受网络攻击事件，宣布对朝鲜实施经济制裁。这是美国最常用的手段，可谓经验丰富。但是，美已经在克里米亚事件后对俄已实施多项制裁，再加大砝码的空间比较小，不会对俄构成强烈的冲击。（二）司法起诉2014年，美司法部曾以“窃取商业信息”为由，起诉中国人民解放军5名军官。中国外交部发言人当时回应称，美方对中方人员的这一指责纯属无中生有，极其荒唐，中国是美方网络窃密和监听、监控的严重受害者。但这次起诉仍被美国看作以执法手段协助维护网络安全的重要范例，在2015年国防部《网络空间战略》等多份文件中都专门提及。但在美国不少网络安全专家看来，司法措施成效并不显著。而且，以网络手段干扰他国政治活动具有明显的政治性，难以划归执法范畴。美国自己更是在中东“阿拉伯之春”、东欧“颜色革命”中运用网络工具影响政治进程，现在如果以司法手段应对，岂非有“贼喊捉贼”之嫌？网络战或许就发生在大众的身边，只是它是没有硝烟的战斗机。电影《黑客帝国》截图（三）网络报复美国内不少人鼓吹对俄发起网络攻击作为报复，以示威慑。实际上，自建立全球最大规模的网军以来，美国公开选定的网络作战对手只有“伊斯兰国”一家，这样的对手显然实力过弱，不足以验证他们的网络作战能力。因此，美军亟需寻找真实的战场以试牛刀，俄罗斯显然是极佳的对象。但正像美国网络安全专家约翰·本贝奈克所评估的那样，如果美俄真的在网络空间交手，美国“无法保证稳赢”。美国另一个担忧是，如果采取网络手段予以反击，就意味着美将此视为战争行为，很容易导致双方冲击升级。克拉珀在就此回答参议员提问时表示，“这是非常严肃的政策号召，情报界不应该提出这样的号召。”他还声称，在国家网络关系中，制裁和公开谴责等非网络措施更为有效。美俄围绕黑客干扰大选斗法影响几何？随着网络空间日益紧密地与人类日常生活融合在一起，引人瞩目的网络安全事件也越来越多。但这次美俄围绕黑客干扰大选事件的斗法，依然具有无可比拟的重要影响。第一、国际社会正在进入网络安全与地缘政治深度结合的新时代。互联网的发展和广泛应用曾一度让不少人认为，当前以民族国家为主体的国际秩序将出现重大变革，政府的作用将不断降低，由各类网民自愿组成的互联网虚拟社团，将拥有跨越传统边界的权利，以更为现代化的方式监管社会。但实际上，各国政府都在迅速地自我改进，越来越娴熟地参与甚至主导网络行动，以求达成地缘政治目标。虽然美国就俄黑客干扰大选事件给出的证据并不充分，但美俄两个大国的三位总统都直接卷入这场纷争，已经令人触目惊心。换言之，网络时代的到来，不仅没有让地缘政治成为历史，反而为地缘政治竞争提供了更加行之有效的新工具。两者的结合，将成为未来相当长时间内国际政治格局演化中的重要特点。第二、网络具有明显的“不对称性”，主要国家“强者不强，弱者不弱”的态势将更加突显。众所周知，网络世界具有明显的“不对称性”，即使实力强大如美国，也因对网络空间依赖性更高、网络空间易攻难守，时常发出谨防“网络珍珠港”的呼声。当然，美国的意图并不单纯，更多的是要借机获得拨款、增强实力、巩固绝对优势地位。但此次事件也充分表明，作为“棱镜门”的发起者，美国虽能在全球范围内随意开展网络情报搜集活动，但也同样要成为这种活动的对象。就在美将此事公诸于众之前的几天，美国会通过《波特曼-墨菲反宣传法案》，要求采取多种措施，应对外部力量在社交媒体上对美国政治议程的干扰和干预。一惯擅长“和平演变”的美国或许怎么也没有想到，他们一手创建的互联网，竟然成了外国意识形态宣传和政治干预的主战场，而他们自己在这场较量中竟无优势可言。网络的危险性在于它的进入门槛极低，发动攻击的难度和代价极小，但极容易造成大面积的破坏。第三、各国国内政治秩序面临变迁，情报和军事部门的作用空前增大。一向行事低调的情报部门和有不干政传统的美国军方，在此次事件中却被推到了第一线。美各情报部门和隶属军方的网络空间司令部做何表态，直接影响着事情的进展。面对重重压力，美国家情报总监克拉珀不得不表示，对黑客行动在多大程度上影响美国大选的判断，“肯定不在美国情报界的权限范围之内”。按照美方报告中的说法，俄干扰大选的“主力”，同样是隶属总参谋部的情报总局和被称为“世界四大情报组织”之一的联邦安全局。这令我们不得不担心，由于情报部门和军队拥有远较其他部门强大的网络实力，在当前国际社会“黑天鹅”频出、多国面临内部权力调整的过程中，这些机构可能获得更大的权力，而原来在国际事务中发挥主导作用的外交、经济等机构的权力却相应地受到削减。这显然将国际安全秩序的稳定产生不利影响。第四、网络冲突风险继续增大，亟需建立网络危机管理机制。核武器的出现，彻底改变了大国对战争的态度，为二战后的世界带来了几十年的总体和平局面。网络的危险性在于它的进入门槛极低，发动攻击的难度和代价极小，但极容易造成大面积的破坏，毁伤范围和程度难以估量。面对来源、动机和破坏性都难以估量的网络攻击，任何国家的决策者恐怕都会倾向于“料敌从严”，在难以辨明真相时很可能做出过激反应。就拿此次事件来说，俄罗斯没有针对美国的指责和制裁做强力反击，一个主要原因是，普京可能在等待特朗普上台后的反应。特朗普虽一度否认自己胜选与俄黑客行动有关，但1月8日也首度改口，表示接受情报界所做的评估结论。这就意味着，他在上台后迫于国内压力也必然对俄采取措施。届时，美俄两位强势元首将如何互动，会不会引发网络版“古巴危机”，还要拭目以待。在这样的关键阶段，各国特别是美俄这样的大国，应当将网络危机管理提上议事日程，而非在相互指责和猜疑中陷于恶性循环。（作者系盘古智库高级研究员）
黑客盗《纽约时报》账号称俄罗斯导弹袭击美国，疑为营销手段,据美国《国会山报》1月22日报道，《纽约时报》旗下的“纽约时报视频”（NewYorkTimesVideo）在社交媒体“推特”上的账户当天早上遭遇了黑客攻击。该账号于当地时间早上10点删除了这条推特。22日早上，该账号在推特上发布消息：“紧急新闻。从弗拉基米尔·普京的声明中获悉，俄罗斯将对美国实施导弹袭击。”该账号于当地时间早上10点删除了这条推特，但很快，黑客团体OurMine又借该账号发帖称，此前一条推特是另一个黑客发的，为了确保账号安全，OurMine又黑入了该账号。美国有线电视新闻网（CNN）报道称，OurMine经常入侵名人和科技公司高管的推特账号，以推销自己的网络安全检查服务。它的受害者包括推特公司的CEO杰克·多西。10点15分，“纽约时报视频”删除了前两条推文，发帖澄清此前发布的新闻不实：“我们删除了一系列今天早些时候在这个账户上发布的未经我们授权的消息。我们正在进行调查。”《国会山报》报道称，目前还不清楚是否真的有第三方黑客首先攻击了“纽约时报视频”的账号，还是OurMine自导自演。而就在“纽约时报视频”澄清账号被黑后，OurMine又借其账号打了个广告：“联系我们，我们会告诉你们怎么解决（账号被黑）的问题。”澎湃新闻记者（www.thepaper.cn）发现，目前这条推文已被删除。
