事件标题,事件内容
中国黑客3月攻击美国政府电脑？中方：抹黑又拿不出证据,中国外交部发言人洪磊在10日的例行记者会上表示，美国媒体关于中国黑客的报道和评论是不负责任的，也不值一驳。西方媒体报道中，经常宣称发现了一处位于上海外高桥的疑似中国黑客办公楼。据中新网7月10日消息，中国外交部发言人洪磊在当天的例行记者会上表示，美国一些媒体和网络安全公司经常抹黑中国，制造所谓中国网络威胁，他们根本拿不出充分的证据。这样的报道和评论是不负责任的，也不值一驳。有记者问：有报道称中国黑客曾在3月侵入美国政府电脑系统。中方对此有何评论？洪磊表示，我们一直强调，中方坚决反对网络黑客攻击行动。在这方面，中方说到做到。美国一些媒体和网络安全公司经常抹黑中国，制造所谓中国网络威胁，他们根本拿不出充分的证据。这样的报道和评论是不负责任的，也不值一驳。新闻链接近年美国指责中国黑客攻击事件2011年10月，美国国会美中经济与安全审查委员会年度报告草案声称可能来自中国军方的黑客于2007-2008年4次通过设在挪威的一处地面卫星接收站干扰了两枚美国卫星。中国外交部发言人姜瑜表示，中国也是黑客攻击受害国。2011年12月，美国网络安全分析专家称，12个中国黑客团队秘密攻击共窃取了美国公司及政府机构重要数据，包括数十亿美元知识产权及数据。中国外交部发言人刘为民说，中国政府一贯反对和严禁任何网络“黑客”违法犯罪活动。2012年3月，美国网络司令部司令、国家安全局局长亚历山大27日声称，“中国该为最近美国RSA公司的网络攻击事件负责”，并对中国黑客的技术能力表示担忧。中国外交部强调，美方始终戴着有色眼镜观察中国，指称中方支持“黑客”攻击的说法纯属无中生有，是别有用心的。2013年2月，美国电脑安全公司Mandiant发布长篇报告，指责一个与中国军方有关的机构幕后操纵了一系列网络黑客攻击行动，众多总部位于美国的公司和组织的大量数据遭到窃取。中国国防部表示，中国军队从未支持过任何黑客活动，有关中国军方从事网络攻击的说法既不专业，也与事实不符。2013年5月，曾经无端炒作所谓中国军方通过网络攻击美国公司的曼迪昂特公司再次发布信息，宣称中国近日恢复了网络攻击的力度。中国外交部发言人洪磊表示，网络安全是一个全球性的问题，不仅美国，中国也面临这个问题。中国遭受的大量网络攻击源头来自美国，但中国从未说这是美国政府、公司或某个人所为。2014年6月，美国某网络安全公司发布报告称，中国军人对西方国家实施了网络黑客攻击以协助发展中国卫星和航天项目。中国外交部发言人华春莹回应，美国不必把自己装扮成受害者，它自己就是“黑客帝国”，这是地球人都知道的事实。
快新闻|美国称被捕中国黑客窃取65G军事数据,据英国《卫报》报道，美国政府控告中国商人“黑”进包括波音等几大公司的计算机系统，窃取大单防御武器订单信息，以及军事项目数据——其中包括最新式的战斗机数据。据报道，中国公民、商人苏斌（SuBin音译）与另两名在华中国黑客合作窃取了2009年至2013年的数据并试图向某些中国国有企业出售。洛杉矶联邦地方法院的文件报告显示，这三名黑客瞄准了包括美国F-22式战斗机、F-35式战斗机以及波音C-17式军用运输机在内的32项军用计划。数据达到65GB（gigabytes）。苏斌与6月28日在加拿大当地被捕并遭到羁押，第一次听证会将于7月18日举行。美国司法部门发言人马克拉蒙迪（MarcRaimondi）称犯罪嫌疑人未经许可进入了美国国防合约商的计算机系统并窃取了武器系统以及军用飞机的数据。美国全国广播公司（NBCnews）报道，苏斌在邮件中称这些数据可以帮助中国“站在巨人的肩膀上”，“这些信息可以帮我们快速赶上美国步伐。”报道称，苏斌系“中国飞行技术公司”的所有人，并在加拿大有分支办公室。中美双方对于黑客行为的控诉与反诉在近期使得中美关系紧张——中国方面的黑客行为在上周的北京对话中是一个重要主题。然而，对话双方对此均撇清干系。据中新网7月10日消息，中国外交部发言人洪磊在当天的例行记者会上表示，美国一些媒体和网络安全公司经常抹黑中国，制造所谓中国网络威胁，但无法拿出充分的证据。2014年6月，美国某网络安全公司发布报告称，中国军人对西方国家实施了网络黑客攻击以协助发展中国卫星和航天项目。中国外交部发言人华春莹回应，美国不必装扮成受害者，它自己就是“黑客帝国”，这是地球人都知道的事实。
美国黑客自称侵入深圳五星级酒店：公共wifi易致隐私泄露,耶稣-莫利纳声称能够对酒店数百间高度智能化的房间进行远程控制。东方IC资料《南华早报》报道称，一位来自美国旧金山的网络安全专家声称攻破了深圳一家五星级酒店的数百间高度智能化房间，并能够对其进行远程控制。但酒店方面则称，这名安全专家的言论“未经证实”。报道称，这家位于深圳的五星级酒店以高科技智能化家居作为服务特色，该酒店为客人在房内提供iPad并安装了电子“管家”应用，房客可以借助此软件爱你控制房间内设施，包括温控，光线以及电视等等。澎湃新闻（www.thepaper.cn）经查询发现，该酒店的房间价格为每间房2000元左右。这名网络安全专家名叫基萨斯·莫利纳（JesusMolina），当时他就是房客中的一员。作为一名黑客，他发现了该酒店智能系统“十分脆弱”，由此，莫利纳写下了一串代码，黑进配备在自己房间的iPad，并连上了自己房内的笔记本电脑，用后者对房间进行控制。在进行了少许调查，并更换了三次房间之后，他发现了各个房间对应的网址前后相连。因此，他能够写出一份脚本，用它来控制酒店的将近250间房间。莫利纳表示，“酒店在安全方面非常不在行……（他们）使用这项新技术，这挺好的。但安全系统的建立，以及面临的相关安全问题需要比普通楼宇住宅耗费更多的精力。”莫利纳称，楼宇智能化一般情况下是封闭式的，但酒店与机场或是其他一些流动量大的位置，保证网络安全都是非常困难的。莫利纳说，酒店使用的KNX自动化系统同样并不安全，人们可以很容易就黑进去。“我是一名有道德素养的黑客”，莫利纳说，他并没有立即将酒店灯全部关掉或是将电视调到同一个台，而是站在走廊上将请勿打扰的告示打开了，“于是我知道现在可以控制屋内外的所有东西。”他说。KNX组织的发言人表示，最新版本的路与控制系统确实是可以通过网络来控制房间的。这家被曝光酒店在一则声明中表示，已经“暂停”了控制系统，并“进行系统升级”。莫利纳表示，将把自己的发现呈现在下月举行的黑帽国际黑客大会上。他表示，由于目前很多酒店都是都是用的公共wifi，任何连接到这一wifi的人都可以通过简单的技术手段侦测到上网者所有信息。此前，通过公共wifi进行涉及隐私的操作，而导致隐私泄露，甚至财产丢失的案例已经多次见诸报端。公共wifi的安全问题也长期是广大网络安全专家关注的重心。实际上，每年的“黑帽大会”都设有对公共安全议题的专题讨论。
研究人员称飞机WiFi开放度过高，或可被黑客用于劫机,网络安全研究人员表示，如果飞机WiFi开放度过高，可能会被黑客用于劫机。据路透社8月4日报道，网路安全研究人员鲁本·圣马尔塔（RubenSantamarta）表示，他已经找到方法，可通过飞机WiFi和机上娱乐系统“黑入”民航客机上的卫星通讯设备。倘若这一消息得到证实，此举将引发对飞机安全的重新审视。据悉，圣马尔塔现年32岁，目前供职于网络安全公司IOActive。他计划在本周拉斯维加斯的“黑帽（BlackHat）”大会上，公布他这一研究的技术细节。年度“黑帽”大会聚集了数千名的黑客以及安全专家，来讨论新出现的网络威胁以及改善安全措施。他将于8月7日发表的、有关航空航天等行业使用的卫星通信系统安全漏洞的演讲，预计将会成为本届“黑帽”大会上最受关注的演讲之一。他向路透社的记者表示，“这类设备的开放度很高。这个演讲的目的是帮助改变这一状况。”圣马尔塔表示，他是通过“逆向工程”的方式发现了这些通讯设备上的软件漏洞。涉及的设备制造商包括科巴姆公司（CobhamPlc）、哈里斯公司（HarrisCorp）、艾科思达公司（EchoStarCorp）旗下的休斯网络系统公司（HughesNetworkSystems）、铱星通信（IridiumCommunicationsInc）以及日本无线株式会社（JapanRadioCoLtd）。理论上讲，一名黑客可以使用飞机上的WiFi信号或是机上娱乐系统来侵入其航空电子设备，并破坏或修改卫星通信，从而干扰飞机的导航和安全系统。因此，利用飞机WiFi来劫机在理论上是有可能发生的。但是圣马尔塔表示，他的“黑入”行为只在可控的环境中进行过测试，例如IOActive在马德里的实验室，而现实中很难复制。而他决定公之于众是向鼓励制造商修复他所认为的风险安全隐患。科巴姆、哈里斯、休斯和铱星的代表称，他们已经对圣马尔塔的研究做了评估，并确认了他的一些发现，但是也淡化了其中的风险。日本无线株式会社的发言人拒绝置评，只是表示这种安全风险的信息不会公开。
史上最大个人信息泄密案：俄黑客被指盗窃12亿份网络账号,有42万个网站受到黑客攻击并被搜集了用户机密资料。CFP资料据《纽约时报》当地时间8月5日报道，俄罗斯犯罪集团被证实偷窃了大量网络数字证书，其中包括12亿份网络用户的用户名和密码组合，以及超过5亿个的电子邮箱地址。来自美国威斯康星州密尔沃基的网络安全公司HoldSecurity声称，他们的记录显示，有42万个网站受到黑客攻击并被搜集了用户机密资料，其中包括一些家喻户晓的大网站。“这绝对是我们遇到过的最大一次个人信息泄漏事件。”HoldSecurity公司创始人和首席信息安全官艾利克斯·侯登（AlexHolden）说，“黑客们并不仅仅攻击美国公司，他们攻击所有有漏洞的公司，从财富500强企业到小网站。”早在去年，HoldSecurity就曝光了Adobe公司千万条系统数据被盗一事。该公司在官方网站上声称，因为涉及保密协议以及保护目前还很脆弱的有些公司免受再度攻击，不会公开这些受害网站的名字。在《纽约时报》的要求下，与HoldSecurity无关的一名安全专家对窃得的用户资料数据进行了验证，证明其说法是可靠的。另一名电脑犯罪学专家也曾评估过资料，他表示，一些大公司注意到，在被盗信息中发现了自己公司的记录。侯登表示，HoldSecurity已在网络上监视了这些黑客足足7个月，直到最近才发现其劣迹影响如此之广。侯登说，将在本周召开的一次行业会议上公布此次公众信息泄漏的细节。按惯例，黑客和安全公司本周将聚集在拉斯维加斯召开一年一度的黑帽安全会议。近年来，网络信息被盗案件可谓频频发生。据《纽约时报》调查，去年12月，美国有4千万信用卡号码和7千万相关号码、地址、电话被窃，据信黑手已经被锁定为东欧的黑客。此外，去年10月，美国联邦调查局在越南地区发现一起大规模身份信息盗窃案件，涉及到2亿人的社保号、信用卡数据和法院信息。此次案件中的黑客来自俄罗斯中南部的一座小城市，该地区位于哈萨克斯坦和蒙古国的中间地带。这一黑客团队由12个20多岁的男孩组成，分工明确，有些负责编程、有些负责窃取数据。该团队从2011年就开始了数据窃取行为，截至今年4月，共记录下45亿条网络用户名和密码（其中有些是重复的），以及5.42亿个电子邮件地址。侯登说，没有证据表明这个犯罪团伙和俄罗斯政府有任何联系。根据IBM公司和另一机构的数据研究，遭到攻击带来的损失越来越严重，每遭受一次黑客攻击的平均损失从去年的310万美元上升到了今年的350万美元。依照这一超过15%的年增速来看，网站的数据安全漏洞会随着时间推移越变越大，遭受的攻击会更为频繁，修复所花的费用也会更加昂贵。
中国黑客被指盗取美国450万人医保数据，FBI已介入,2013年上市的“火眼”公司以今年初以10亿美元收购了曾发布中国黑客攻击报告的另一家安全公司Mandiant。Mandiant曾追踪“APT18”整整四年，堪称是中国黑客最熟悉的安全公司。美国最大的医院集团之一——社区卫生系统公司（CommunityHealthSystems）当地时间8月18日称，其受到了来自中国的黑客攻击，约450万名病人的社会保障号和其他个人信息遭窃取。路透社报道称，美国安全专家表示，这一黑客组织名为“APT18”，“有可能”和中国政府有关联。曾主导调查4月和6月卫生系统遭黑客攻击的网络安全公司火眼（FireEye）的Mandiant取证部门运营总监查尔斯·贾曼卡尔（CharlesCarmakal）表示，看起来攻击来自中国一个相当成熟的黑客团体，这个团体也曾对美国其他行业的数家大公司发起进攻，“他们相当精通侵入技术，而且能长时间避免访问行为被发现。”2013年上市的“火眼”公司以今年初以10亿美元收购了另一家安全公司Mandiant。Mandiant公司堪称是中国黑客最熟悉的安全公司，其多次发布中国黑客攻击报告，追踪过近20个中国黑客团体。Mandiant表示，曾追踪“APT18”整整四年。不过，贾曼卡尔和社区卫生系统的管理人员拒绝提及这一黑客集团名称，也未指出其是否和中国政府有关联。社区卫生系统公司在美国29个州拥有206家医院。该公司声明称，失窃的信息资料包括过去五年中在该医院集团就诊的病人的姓名、地址、出生日期、电话号码和社会保障号码等。数据不包括医疗或临床信息、信用卡号，以及涉及知识产权的医疗设备研发信息等。报道称，中国黑客团体一般会寻找涉及知识产权的信息，例如产品设计，以及商业和政治谈判所需资料等。黑客通常会将社保号码和其他失窃的个人信息通过地下交易，贩卖给其他人。另一家安全公司CrowdStrike的首席科技官（CTO）迪米特里·阿尔帕诺维奇（DmitriAlperovitch）也表示，他的公司也长期追踪“APT18”，其针对的目标主要是人权团体和化工企业，“他们的技能高于普通中国黑客”。美国国土安全部表示，虽然这一攻击向其他医疗业服务者泄露了技术细节，但认为事件是孤立的。另一官员表示，现在谈论谁是黑客攻击背后的主使还太早。FBI（美国联邦调查局）发言人约书亚·坎贝尔表示该局正在调查此案，但拒绝透露详情。自2009年美国卫生和人道服务部网站开展信息泄漏追踪以来，这是迄今最大的一宗美国病人信息遭黑客攻击事件。此前，6月份曾爆出蒙大拿州公共卫生部的服务器被“黑”事件，导致一百万人受影响。
中国黑客被指入侵窃取马航MH370失联调查数据,媒体称马航MH370调查组高级官员的电脑遭到黑客入侵。CFP图据《南华早报》8月20日报道，马航MH370调查组高级官员的电脑遭到黑客入侵并确认信息被盗。被盗信息被指传送至中国电脑。马来西亚网络安全署在传输已完成后才对遭侵入电脑进行封锁并关机。马国家网络安全专家组公布了入侵所使用的木马病毒软件，该软件乔装成一篇“马航失联飞机波音777被找到”新闻，并于3月9日传至马航官员邮箱。3月9日为马航客机失联后的第二天。电子邮件的附件被制作成类似PDF文档的执行文件（后缀为exe.文件），在点击后会自动触发木马软件。新加坡《海峡日报》报道称马民航局、国家安全局和马航均在黑客袭击目标中。马网络安全署负责人瓦哈布（AmirudinAbdulWahab）称收到报告“这些部门向外发送大量邮件造成网络服务器堵塞。”该负责人说：“这些从官员电脑中发送的邮件中包含机密信息，如会议时间和机要文件。其中一部分与MH370的调查有关。”有30台左右的电脑遭到病毒感染，而信息发往的IP地址被指来自中国。瓦哈布说：“病毒的代码非常精细，而杀毒软件无法探测，这是一次非常缜密的侵入......当时人们指责我们不提供关键信息，但所有秘密调查的内容都被公布了。”网络安全专家坎纳比锡兰（DhillonKannabhiran）表示邮件钓鱼攻击需要周全的策划，这样的入侵，可能是一系列技术高超的黑客进行的，他们可能会将邮件伪装成来自可靠发件人。他同时表示，为防止黑客，机密文件一定需要分层加密。俄塔社分析称，自马航MH370失联以来，出现了一系列阴谋论，声称马航失联是被某政权或是某经过高度训练的犯罪组织劫持。3月8日，马来西亚航空公司一架载有227名乘客和12名机组人员从吉隆坡飞往北京的航班于起飞约一小时后失联，此前未发送任何有关飞机故障或其他问题的讯号。飞机与地面最后联络时位于距马东海岸220公里处。马总理3月24日表示，分析卫星提供的资料表明，MH370号航班坠入印度洋，推测称无人生还。3月印度拒绝了中国进入领海安达曼海搜寻失联客机的请求，认为该请求可能成为军事窥探的借口。专家表示寻找MH370的成本可能已达数亿美元，成为历史上最高昂的搜救行动。
苹果：iCloud被黑是密码问题，黑客：“我跑路了”,苹果表示icloud不存在漏洞。据《华盛顿邮报》9月4日的报道称，日前现身在网络上的幕后黑客“原始者（OriginalGuy）”在FBI介入调查后“跑路”，并躲在一“藏身之处”疯狂地寻找律师。同时他威胁称，很快就会发放更多来自不同明星的照片。外泄照片的“OriginalGuy”自称是“收藏家”而非黑客，而这名“用了数月收藏这些照片之后突然决定把它们发到网上的收藏家”曾于9月1日表示，“只是让你们知道，我不是自己做这件事，还得其他我所信任的人相助才能成事，是集众人之力、花了数月苦功的成果。”而这起好莱坞众多女星和名模的裸照被黑客外泄的事件，引起了外界广泛的关注。被外泄照片是通过“黑入”明星的iCloud账户所得，苹果公司此前表示，“我们十分重视用户隐私，已经就此展开积极调查。”苹果公司的声明之后苹果公司在9月2日发表声明称，iCloud和“查找我的iPhone”都不存在漏洞。这些名人遭到攻击，是他们设置的密码有问题。声明中称：“经过40多个小时的调查，我们发现，部分知名人士的帐户信息外泄，是因为其用户名、密码和安全提示问题遭到极具针对性的攻击。这类攻击在互联网上屡见不鲜。在我们现已完成的调查中，没有任何案例是由Apple系统(包括iCloud?和“查找我的iPhone”功能)的任何漏洞引起。”对于此事件，除了苹果公司以外，美国联邦调查局（FBI）也已介入调查之中。FBI的发言人表示：“FBI已经了解到有关电脑入侵，以及非法泄露的知名人士私人信息的指控，并正着手处理。在这个时候，任何进一步的评论都是不恰当的。”
黑客入侵网银盗取321万获刑，5年前曾攻击上海车牌拍卖系统,利用木马盗取98名受害者网银中321万元的王某在法庭上。截屏图2009年，黑客王某通过木马病毒操纵5000余台电脑攻击上海市私车额度拍卖服务网站，导致当时私车额度拍卖被迫取消。近期王某再次站在了法院的刑事审判被告席。这一次，他被控利用木马程序盗取98名受害者网银中的321万余元，并通过充值点卡将钱转至泰国。虽然王某并不认罪，坚称证据无法证明他是幕后黑客，但法院认定检方证据确实充分，且王某属累犯，应当从重处罚。2014年9月23日，上海市浦东新区法院一审判决在被告人“零口供”的情况下，以盗窃罪判处被告人王某有期徒刑14年6个月，剥夺政治权利4年，处罚金人民币3万元。攻击车牌拍卖系统导致取消王某，1989年出生，山东人，中专文化，无业人员。2009年7月18日，王某和周某通过木马病毒软件操纵5000多台电脑，攻击上海私车额度服务网站的服务器，致使服务器无法正常运行，私车额度拍卖活动被迫取消。2010年9月王某被上海市嘉定区人民法院以破坏计算机系统罪判处有期徒刑1年2个月。出狱后，王某并没有改过自新。2012年11月至2013年1月，王某租借虚拟专用服务器和虚拟专用网络后，将木马程序植入多名被害人电脑，当被害人使用该电脑进行网上支付时，木马程序自动运行，将被害人李某等98人的网银账户中共计人民币321万元转入游戏帐户充值点卡、虚拟币等。事后，王某将上述充值点卡等套现，又将销赃得款在泰国通过他人换成泰铢。2013年1月14日，上海警方从泰国将王某抓获归案。辩称无法证明木马由其传播在法庭上，王某坚持自行辩护，他当庭否认自己实施了本案的盗窃犯罪，辩称公诉机关指控其实施网络盗窃所用的支付宝、淘宝、QQ等都不是其本人的；IP轨迹比对方法不科学，IP轨迹即便相同也并非一人所用，本案没有木马源码和传播过程，没有证据确认木马程序是其所投放使用等等。浦东新区法院审理后认为，相关证据经庭审质证足以认定其犯罪事实，故王某的当庭辩解，不符合本案已查明的事实和相关法律规定，法院不予采信。被告人王某以非法占有为目的，秘密窃取他人财物，数额特别巨大，其行为已构成盗窃罪。公诉机关指控的犯罪事实清楚，证据确实充分，罪名成立。王某在刑满释放5年内再犯新罪，构成累犯，应当从重处罚。综上，法院依法作出上述一审判决。名词解释：“零口供”：不是指没有口供，而是没有犯罪嫌疑人或被告人供述其实施或参与实施犯罪行为的口供，通常分两种情形：一是犯罪嫌疑人否认自己实施了犯罪行为；二是嫌疑人只供述自己的行为，但否认其主观上对所实施的犯罪性质的行为具有明知。对“零口供”定罪的诉讼证据，一是要求据以定罪的证据均已查证属实，证据之间、证据与案件事实之间的矛盾得以合理排除，且根据已认定的证据对案件作出的判定结论具有唯一性；二是案件的每一节事实都需要有充分的证据予以主实和固定，没有证据的事实不能认定。
香港65万市民加入“反占中”签名，网上签名遭欧美黑客攻击,10月25日，“祝福香港”烛光晚会，参加晚会的市民表达支持警察的心声。新华网图香港市民打出“爱香港，撑警察”的标语。新华网图据人民日报客户端消息，违法“占中”已经持续4个星期，香港多处主干道依旧被示威者霸占。各界市民继续以签名对“占中”者自私的违法行为表达愤怒，对警方执法表示支持。尽管遭遇黑客攻击及“占中”者滋扰，短短一个周末两天，“还路于民、恢复秩序、维护法治”支持警方大签名就已经吸引65万市民参加，其中亲身签名55万，网络签名10万。签名将开放至11月2日。香港特区政府政务司长林郑月娥10月26日说，已在网上签名支持“保普选反占中”大联盟发起的签名行动。特区政府所有政治任命官员，除负责检控工作的律政司司长外，都将签名支持。签名行动昨天（25日）深夜遭黑客猛烈袭击，网上签名平台无法正常运行。26日上午恢复运作，但仍然断续遭受攻击，导致登录签名速度缓慢。大联盟表示，黑客攻击使用的IP地址，显示是在欧美国家。黑客采用的手段是发动分散式阻断服务攻击。攻击没有渗入系统内部，市民签名资料没有被窃取。大联盟强烈谴责黑客的破坏行为，认为类似粗暴妨碍市民言论自由的卑鄙行为，正好证明发动者是何等虚弱，要靠阴谋手段来回应强大民意，这只会激起更多的市民参加签名。此外，在沙田大围铁路站等现场签名点，有十多名“占中”人士到场干扰。警察公共关系科总警司许镇德26日说，示威人士在旺角以木板、铁栅栏、铁链、胶索等组成障碍物阵，危害公共安全的风险越来越高。在弥敦道近登打士街的一个障碍物阵，面积达5米乘15米，还有人将雨伞伞骨放在障碍物阵之中，若有人走近或出现推撞，很容易造成伤害。在弥敦道近山东街，非法堵路人士用多个木板叠高，再用长钉将木板加固，制作出一个约三米高的路障，有倒塌的风险，而且一些木板被踏断，突出的尖锐部份非常危险。许镇德说，一旦发生冲突，可能引致障碍物被推倒，造成严重后果。有人受伤需要救援时，这些障碍物会令救援车辆到达现场极其困难，会阻碍救人。警方谈判专家同消防处人员已到场劝告非法霸占道路人士，希望他们尽快移除障碍物，以免危害自身及公众安全。财政司司长曾俊华26日发表博客文章说，“占中”者目前的手段，包括占领干道、不合作运动、蔑视法庭判令等等，肯定会破坏香港的政府运作和法治根基。这些破坏一旦变成香港新的政治范式，影响将不会是短期的，可能会造成长期的政治不稳定。香港越来越多人担心旷日持久的违法“占中”对香港经济造成深远影响。曾俊华说，作为财政司司长，对经济有忧虑，但更担心运动对香港管治和法治的伤害。“经济发展总有高低起跌，过去香港即使面对经济逆境，仍有能力翻身再起，但高效的政府和社会广泛的法治意识一旦破坏了，能否修复、如何修复，谁也说不准。”香港大学法律系陈弘毅教授25日说，“占中”将把香港带进“自残”的局面，担心香港会由盛转衰，和历史上曾经辉煌一时的城市一样没落。
阿里互联网汽车两年后亮相：小心别被黑客遥控了,一个全轮驱动版特斯拉轿车的仪表板。在近日的一场黑客比赛中，特斯拉ModelS系统被黑客攻破，使得特斯拉可被远程操控实现“无人驾驶”，这加重了人们对互联网汽车网络安全性的担忧。此前的10月20日，阿里巴巴集团推出旗下最新版移动操作系统——YunOS3.0。上汽集团与阿里正合作研发的“互联网汽车”将搭载这款操作系统，预计该车将于两年后亮相。针对民众担心的网络安全问题，阿里云通用行业云架构师金戈表示，阿里云的防护体系是符合国际标准的，而阿里将会对该系统不断加强防护。特斯拉真被黑客“攻破”了？10月24日，在一场黑客比赛中，来自中国的KeenTeam与V2S的白帽子黑客实现了对特斯拉ModelS的攻破。黑客在比赛场内，特斯拉停在比赛场外，通过场内大屏幕直播特斯拉的动态，澎湃新闻看到了特斯拉被远程控制的过程。KeenTeam负责人王琦随机邀请一位观众，让他打开事先做好的一个网页。网页上显示的是一辆特斯拉照片。根据黑客指示，观众点击网页上汽车的不同部位，场外的特斯拉先后实现了前进、倒车、熄火、打开后备厢等动作。根据直播画面，这辆车无人驾驶。可能受限于场内网络通信速度，有几个远程操作试了几次才成功。“想象一下，理论上黑客能随心所欲地就把你的车开走了。”王琦说。当然，目前成功利用这类漏洞实施攻击的概率很低。比赛组委会表示会将发现的漏洞按照业界规则及时提交给厂商，在漏洞被修复前不会公开所有细节。尽管特斯拉公司次日表示“尚未看到有关该破解的任何证据和细节”，但其表示高度重视，会进行调查。据澎湃新闻了解，特斯拉建立的安全保护措施包括移动App、特斯拉的服务器以及车辆本身。2014年初，有黑客通过物理接触堆对特斯拉进行了攻破，之后特斯拉彻底关闭了物理接触的通道。对此次中国黑客的攻破，特斯拉怀疑这辆车很有可能之前遭到物理干预。之后的7月，奇虎360团队也声称，通过特斯拉总部服务器给车主下发应用程序中的漏洞，黑客可以在车主不知情的情况下，开启车门、鸣笛闪灯，并且在行车过程中开天窗。8月，特斯拉招揽黑客查找安全漏洞。当时，负责特斯拉汽车安全问题的克里斯丁·佩吉特表示，特斯拉至少修复了一个安全漏洞。他同时坦承，“完全没有”为互联网汽车可能存在的安全风险做好准备。“安全都是相对的”2014年7月，阿里与上汽集团签署“互联网汽车”战略合作协议，开展互联网汽车和相关应用研发。此举被称为具有跨界合作的典型意义，引发业界期待。在10月20日的阿里巴巴YunOS3.0发布会上，上汽集团信息系统部执行总监张新权称，“与阿里的合作，使我们获得了能够自主控制的操作系统，可以根据汽车的特点、使用环境和用户的需求进行定制化，更重要的是它足够安全可靠。”同一天，在2014全球汽车科技革命及产业变革高峰论坛上，谈到阿里云的安全问题时，阿里云通用行业云架构师金戈进行了解释。金戈说，“安全”都是相对的，谁也不敢说自己的系统万无一失，只有不断研究加强防护。金戈强调，阿里云的防护体系是符合国际标准的。
